REACTION	ROLE	SUBSYSTEM	SOURCE	COMPLEX	MASTER
rxn05159_c0	Choline transporter, permease protein	NONE	CHRIS FILE	3011	1
rxn05159_c0	Osmotically activated L-carnitine/choline ABC transporter, permease protein OpuCB	NONE	CHRIS FILE	1584	1
rxn05159_c0	Osmotically activated L-carnitine/choline ABC transporter, ATP-binding protein OpuCA	NONE	CHRIS FILE	1584	1
rxn05159_c0	Choline transport ATP-binding protein	NONE	CHRIS FILE	3012	1
rxn05159_c0	Choline ABC transport system, choline-binding protein OpuBC	NONE	CHRIS FILE	1583	1
rxn05159_c0	Choline ABC transport system, permease protein OpuBD	NONE	CHRIS FILE	1583	1
rxn05159_c0	Osmotically activated L-carnitine/choline ABC transporter, permease protein OpuCD	NONE	CHRIS FILE	1584	1
rxn05159_c0	Choline ABC transport system, ATP-binding protein OpuBA	NONE	CHRIS FILE	1583	1
rxn05159_c0	Osmotically activated L-carnitine/choline ABC transporter, substrate-binding protein OpuCC	NONE	CHRIS FILE	1584	1
rxn05287_c0	Octaprenyl-diphosphate synthase (EC 2.5.1.-)	Polyprenyl_Diphosphate_Biosynthesis	MATT FILE	100616	1
rxn05287_c0	Solanesyl diphosphate synthase (Sds) (EC 2.5.1.11)	Polyprenyl_Diphosphate_Biosynthesis	MATT FILE	100617	1
rxn05287_c0	All-trans-hexaprenyl-diphosphate synthase (EC 2.5.1.33)	Polyprenyl_Diphosphate_Biosynthesis	MATT FILE	100618	1
rxn05287_c0	Heptaprenyl diphosphate synthase component I (EC 2.5.1.30)	Polyprenyl_Diphosphate_Biosynthesis	MATT FILE	100619	1
rxn05287_c0	Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)	Polyprenyl_Diphosphate_Biosynthesis	MATT FILE	100620	1
rxn00140_c0	Heme-regulated cyclic AMP phosphodiesterase (EC 3.1.4.-)	cAMP_signaling_in_bacteria	Hope	100621	0
rxn02319_c0	L-fuculokinase (EC 2.7.1.51)	NONE	Hope|MATT FILE	100622	1
rxn05345_c0	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	NONE	CHRIS FILE	1587	1
rxn05345_c0	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	NONE	Hope|MATT FILE|CHRIS FILE	1587	1
rxn05345_c0	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	NONE	Hope|MATT FILE	100623	1
rxn02235_c0	1,3-propanediol dehydrogenase (EC 1.1.1.202)	NONE	Hope|MATT FILE	100624	1
rxn02177_c0	Isochorismatase (EC 3.3.2.1) of siderophore biosynthesis	NONE	CHRIS FILE	1598	1
rxn02177_c0	Isochorismatase (EC 3.3.2.1)	NONE	Hope|CHRIS FILE	1599	1
rxn10218_c0	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	NONE	CHRIS FILE	1600	1
rxn03147_c0	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	NONE	Hope|MATT FILE|CHRIS FILE	1602	1
rxn10128_c0	Functional role page for Cytochrome c-type protein TorC	NONE	CHRIS FILE|CHRIS FILE	3075	1
rxn10128_c0	Functional role page for Cytochrome c-type protein TorC	NONE	CHRIS FILE|CHRIS FILE	3077	1
rxn10128_c0	Functional role page for Cytochrome c-type protein TorY	NONE	CHRIS FILE|CHRIS FILE	3074	1
rxn10128_c0	Functional role page for Cytochrome c-type protein TorY	NONE	CHRIS FILE|CHRIS FILE	3078	1
rxn10128_c0	Trimethylamine-N-oxide reductase (EC 1.6.6.9)	NONE	CHRIS FILE	3076	1
rxn00095_c0	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41)	EC49-61	Hope|CHRIS FILE	1842	1
rxn02911_c0	Enoyl-CoA hydratase (EC 4.2.1.17)	NONE	CHRIS FILE	1611	1
rxn10476_c0	Aerobic cobaltochelatase CobS subunit (EC 6.6.1.2)	NONE	MATT FILE	100625	1
rxn10476_c0	Aerobic cobaltochelatase cobT subunit (EC 6.6.1.2)	NONE	Hope	100626	0
rxn10476_c0	Aerobic cobaltochelatase CobT subunit (EC 6.6.1.2)	NONE	MATT FILE	100627	1
rxn10476_c0	Aerobic cobaltochelatase cobS subunit (EC 6.6.1.2)	NONE	Hope	100628	0
rxn01211_c0	Formate--tetrahydrofolate ligase (EC 6.3.4.3)	NONE	Hope|MATT FILE	100629	1
rxn01211_c0	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	NONE	CHRIS FILE	1613	1
rxn01211_c0	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	NONE	Hope|MATT FILE|CHRIS FILE	1613	1
rxn01211_c0	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	NONE	Hope|MATT FILE|CHRIS FILE	1613	1
rxn03884_c0	4-Hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16)	NONE	CHRIS FILE	1610	1
rxn03884_c0	2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1610	1
rxn03884_c0	2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1610	1
rxn03884_c0	2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1610	1
rxn09180_c0	Protoporphyrinogen IX oxidase, oxygen-independent, HemG (EC 1.3.-.-)	NONE	CHRIS FILE	2021	1
rxn08802_c0	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn08802_c0	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn01602_c0	Alternative dihydrofolate reductase 2	NONE	Hope|MATT FILE	100630	1
rxn01602_c0	Dihydrofolate reductase (EC 1.5.1.3)	NONE	Hope|MATT FILE|CHRIS FILE	1616	1
rxn01602_c0	FolM Alternative dihydrofolate reductase 1	NONE	Hope|MATT FILE	100631	1
rxn00670_c0	Phosphate acetyltransferase (EC 2.3.1.8)	NONE	Hope|MATT FILE|CHRIS FILE	1615	1
rxn10335_c0	Cardiolipin synthetase (EC 2.7.8.-)	NONE	CHRIS FILE	1617	1
rxn02782_c0	Muconate cycloisomerase (EC 5.5.1.1)	NONE	Hope|MATT FILE	100632	1
rxn02782_c0	Muconate cycloisomerase (EC 5.5.1.1)	NONE	Hope|MATT FILE	100633	1
rxn00916_c0	GMP synthase (EC 6.3.4.1)	NONE	Hope|MATT FILE	100634	1
rxn00371_c0	Formate dehydrogenase chain D (EC 1.2.1.2)	Formate_hydrogenase	Hope|MATT FILE|CHRIS FILE	1620	1
rxn00371_c0	Formate dehydrogenase H (EC 1.2.1.2)	NONE	Hope	100635	0
rxn00371_c0	Formate dehydrogenase related protein	NONE	CHRIS FILE	3070	1
rxn00371_c0	Formate dehydrogenase N beta subunit (EC 1.2.1.2)	Formate_hydrogenase	Hope|MATT FILE	100636	1
rxn00371_c0	Formate dehydrogenase N beta subunit (EC 1.2.1.2)	NONE	Hope|MATT FILE	100637	1
rxn00371_c0	Formate dehydrogenase O alpha subunit (EC 1.2.1.2)	Formate_hydrogenase	Hope|MATT FILE	100638	1
rxn00371_c0	Formate dehydrogenase O alpha subunit (EC 1.2.1.2)	NONE	Hope|MATT FILE	100639	1
rxn00371_c0	Formate dehydrogenase O beta subunit (EC 1.2.1.2)	Formate_hydrogenase	Hope|MATT FILE	100640	1
rxn00371_c0	Formate dehydrogenase O beta subunit (EC 1.2.1.2)	NONE	Hope|MATT FILE	100641	1
rxn00371_c0	NAD-dependent formate dehydrogenase (EC 1.2.1.2)	NONE	CHRIS FILE	3073	1
rxn00371_c0	Formate dehydrogenase N gamma subunit (EC 1.2.1.2)	Formate_hydrogenase	Hope|MATT FILE	100642	1
rxn00371_c0	Formate dehydrogenase N gamma subunit (EC 1.2.1.2)	NONE	Hope|MATT FILE	100643	1
rxn00371_c0	Formate dehydrogenase O gamma subunit (EC 1.2.1.2)	Formate_hydrogenase	Hope|MATT FILE	100644	1
rxn00371_c0	Formate dehydrogenase O gamma subunit (EC 1.2.1.2)	NONE	Hope|MATT FILE	100645	1
rxn00371_c0	Anaerobic dehydrogenases, typically selenocysteine-containing	NONE	CHRIS FILE	3071	1
rxn00371_c0	Formate dehydrogenase N alpha subunit (EC 1.2.1.2)	Formate_hydrogenase	Hope|MATT FILE	100646	1
rxn00371_c0	Formate dehydrogenase N alpha subunit (EC 1.2.1.2)	NONE	Hope|MATT FILE	100647	1
rxn00371_c0	Putative formate dehydrogenase oxidoreductase protein	NONE	CHRIS FILE	3072	1
rxn03644_c0	6-phospho-3-hexuloisomerase	NONE	CHRIS FILE	1622	1
rxn00539_c0	Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)	NONE	Hope|MATT FILE	100648	1
rxn00539_c0	Ethanolamine ammonia-lyase light chain (EC 4.3.1.7)	NONE	Hope|MATT FILE	100649	1
rxn01924_c0	Branched-chain acyl-CoA dehydrogenase (EC 1.3.99.12)	NONE	Hope|MATT FILE	100650	1
rxn01924_c0	Probable acyl-CoA dehydrogenase (EC 1.3.99.3)	NONE	Hope|MATT FILE	100651	1
rxn11946_c0	3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)	NONE	CHRIS FILE	2015	1
rxn00184_c0	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE	100652	1
rxn00184_c0	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE	100653	1
rxn00184_c0	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE	100654	1
rxn08619_c0	UDP-glucose:(glucosyl)lipopolysaccharide alpha-1,3-glucosyltransferase WaaO (EC 2.4.1.-)	NONE	CHRIS FILE	2046	1
rxn08848_c0	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn08848_c0	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn05444_c0	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	NONE	CHRIS FILE	1628	1
rxn00941_c0	Nicotinamide phosphoribosyltransferase (EC 2.4.2.12)	NONE	Hope|MATT FILE	100655	1
rxn05431_c0	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	NONE	CHRIS FILE	1629	1
rxn00431_c0	Methylamine dehydrogenase heavy chain precursor (EC 1.4.99.3)	NONE	MATT FILE	100656	1
rxn00431_c0	Methylamine dehydrogenase light chain precursor (EC 1.4.99.3)	NONE	MATT FILE	100657	1
rxn00537_c0	Phosphonoacetaldehyde hydrolase (EC 3.11.1.1)	Phosphonate_metabolism	Hope|MATT FILE	100658	1
rxn00650_c0	Peptidase B (EC 3.4.11.23)	NONE	CHRIS FILE	1673	1
rxn00650_c0	Membrane alanine aminopeptidase N (EC 3.4.11.2)	NONE	CHRIS FILE	1674	1
rxn00650_c0	Isoaspartyl aminopeptidase (EC 3.4.19.5)	NONE	CHRIS FILE	1671	1
rxn00650_c0	Methionine aminopeptidase (EC 3.4.11.18)	NONE	CHRIS FILE	1677	1
rxn00650_c0	Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	NONE	CHRIS FILE	1675	1
rxn00650_c0	Asp-X dipeptidase	NONE	CHRIS FILE	1672	1
rxn00650_c0	Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	NONE	CHRIS FILE	1678	1
rxn00650_c0	Cytosol aminopeptidase PepA (EC 3.4.11.1)	NONE	CHRIS FILE	1676	1
rxn05382_c0	Enoyl-[acyl-carrier-protein] reductase [NADPH] (EC 1.3.1.10)	NONE	CHRIS FILE	1631	1
rxn01241_c0	Dihydrolipoamide dehydrogenase of acetoin dehydrogenase (EC 1.8.1.4)	NONE	CHRIS FILE	1632	1
rxn01241_c0	Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)	NONE	Hope|MATT FILE|CHRIS FILE	2047	1
rxn01241_c0	Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1634	1
rxn01241_c0	Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1634	1
rxn01241_c0	Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1634	1
rxn01241_c0	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	NONE	Hope|MATT FILE|MATT FILE	100659	1
rxn01241_c0	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	NONE	Hope|MATT FILE|MATT FILE	100660	1
rxn01241_c0	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	642	1
rxn01241_c0	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	642	1
rxn01241_c0	Putative Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	NONE	Hope|MATT FILE	100661	1
rxn10229_c0	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	NONE	CHRIS FILE	1635	1
rxn01522_c0	Xanthine dehydrogenase, iron-sulfur cluster and FAD-binding subunit A (1.17.1.4)	Purine_Utilization	Hope|MATT FILE	100662	1
rxn01522_c0	Xanthine dehydrogenase, FAD binding subunit (EC 1.17.1.4)	Purine_Utilization	Hope|MATT FILE|CHRIS FILE	1636	1
rxn01522_c0	Xanthine dehydrogenase, molybdenum binding subunit (EC 1.17.1.4)	Purine_Utilization	Hope|MATT FILE|CHRIS FILE	1636	1
rxn01522_c0	Putative xanthine dehydrogenase yagS, FAD binding subunit (EC 1.17.1.4)	Purine_Utilization	Hope|MATT FILE	100663	1
rxn01522_c0	Xanthine dehydrogenase iron-sulfur subunit (EC 1.17.1.4)	Purine_Utilization	Hope|MATT FILE|CHRIS FILE	1636	1
rxn01117_c0	Arabinose 5-phosphate isomerase (EC 5.3.1.13)	NONE	Hope|MATT FILE	100664	1
rxn01107_c0	Gluconolactonase (EC 3.1.1.17)	NONE	Hope|MATT FILE|CHRIS FILE	1638	1
rxn02883_c0	2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-)	NONE	Hope|MATT FILE	100665	1
rxn09289_c0	Lipopolysaccharide biosynthesis protein RffC	NONE	CHRIS FILE	1683	1
rxn08300_c0	Diacylglycerol kinase (EC 2.7.1.107)	NONE	CHRIS FILE	1919	1
rxn00836_c0	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	NONE	Hope|MATT FILE|CHRIS FILE	1639	1
rxn06455_c0	Heme oxygenase (EC 1.14.99.3)	NONE	Hope	100666	0
rxn00776_c0	Ribosomal large subunit pseudouridine synthase A (EC 4.2.1.70)	NONE	CHRIS FILE	2046	1
rxn00776_c0	Ribosomal large subunit pseudouridine synthase E (EC 5.4.99.-)	NONE	CHRIS FILE	2046	1
rxn00776_c0	Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)	NONE	CHRIS FILE	2046	1
rxn00776_c0	Ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70)	NONE	CHRIS FILE	2046	1
rxn00776_c0	Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)	NONE	CHRIS FILE	2046	1
rxn00776_c0	tRNA pseudouridine 55 synthase (EC 4.2.1.70)	NONE	Hope	100667	0
rxn00776_c0	tRNA pseudouridine synthase B (EC 4.2.1.70)	NONE	CHRIS FILE	2045	1
rxn00776_c0	Ribosomal small subunit pseudouridine synthase A (EC 4.2.1.70)	NONE	CHRIS FILE	2046	1
rxn00776_c0	tRNA pseudouridine synthase A (EC 4.2.1.70)	NONE	Hope|CHRIS FILE	2045	1
rxn09110_c0	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	NONE	CHRIS FILE	1901	1
rxn12646_c0	Peptidase B (EC 3.4.11.23)	NONE	CHRIS FILE	1673	1
rxn12646_c0	Membrane alanine aminopeptidase N (EC 3.4.11.2)	NONE	CHRIS FILE	1674	1
rxn12646_c0	Isoaspartyl aminopeptidase (EC 3.4.19.5)	NONE	CHRIS FILE	1671	1
rxn12646_c0	Methionine aminopeptidase (EC 3.4.11.18)	NONE	CHRIS FILE	1677	1
rxn12646_c0	Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	NONE	CHRIS FILE	1675	1
rxn12646_c0	Asp-X dipeptidase	NONE	CHRIS FILE	1672	1
rxn12646_c0	Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	NONE	CHRIS FILE	1678	1
rxn12646_c0	Cytosol aminopeptidase PepA (EC 3.4.11.1)	NONE	CHRIS FILE	1676	1
rxn09296_c0	Thioredoxin	NONE	CHRIS FILE	2047	1
rxn01255_c0	Chorismate synthase (EC 4.2.3.5)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1644	1
rxn01255_c0	Chorismate synthase (EC 4.2.3.5)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1644	1
rxn03194_c0	Acetolactate synthase small subunit (EC 2.2.1.6), predicted, Archaeal type	NONE	MATT FILE	100668	1
rxn03194_c0	Acetolactate synthase small subunit (EC 2.2.1.6), predicted	NONE	MATT FILE	100669	1
rxn03194_c0	Acetolactate synthase small subunit (EC 2.2.1.6), Xanthomonadales type	NONE	MATT FILE	100670	1
rxn03194_c0	Acetolactate synthase isozyme II small subunit (EC 2.2.1.6)	NONE	Hope	100671	0
rxn03194_c0	Acetolactate synthase small subunit (EC 2.2.1.6), predicted, Archaeal type 2	NONE	MATT FILE	100672	1
rxn03194_c0	Acetolactate synthase large subunit (EC 2.2.1.6)	NONE	Hope|MATT FILE|CHRIS FILE	1646	1
rxn03194_c0	Acetolactate synthase small subunit (EC 2.2.1.6)	NONE	Hope|MATT FILE|CHRIS FILE	1646	1
rxn01360_c0	Dihydroorotate:ubiquinone oxidoreductase (EC 1.3.99.11)	De_Novo_Pyrimidine_Synthesis	Hope	100673	0
rxn01360_c0	Dihydroorotate dehydrogenase (EC 1.3.3.1)	De_Novo_Pyrimidine_Synthesis	Hope|MATT FILE	100674	1
rxn01360_c0	Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)	De_Novo_Pyrimidine_Synthesis	Hope|MATT FILE|CHRIS FILE	1645	1
rxn01360_c0	Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)	De_Novo_Pyrimidine_Synthesis	Hope|MATT FILE|CHRIS FILE	1645	1
rxn08552_c0	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	NONE	CHRIS FILE	1849	1
rxn08552_c0	Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)	NONE	CHRIS FILE	1875	1
rxn08552_c0	Phosphate:acyl-ACP acyltransferase PlsX	NONE	CHRIS FILE	1849	1
rxn02927_c0	Succinylarginine dihydrolase (EC 3.5.3.23)	NONE	Hope|MATT FILE	100675	1
rxn01453_c0	Acetoacetyl-CoA reductase (EC 1.1.1.36)	Polyhydroxybutyrate_metabolism	Hope|MATT FILE|MATT FILE	100676	1
rxn01453_c0	Acetoacetyl-CoA reductase (EC 1.1.1.36)	NONE	Hope|MATT FILE|MATT FILE	100677	1
rxn01524_c0	Xanthine oxidase (EC 1.17.3.2)	Purine_Utilization	Hope|MATT FILE	100678	1
rxn03958_c0	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	NONE	Hope|MATT FILE|CHRIS FILE	1655	1
rxn03958_c0	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	NONE	Hope|MATT FILE|CHRIS FILE	1655	1
rxn03958_c0	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	NONE	Hope|MATT FILE|CHRIS FILE	1655	1
rxn03958_c0	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	NONE	Hope|MATT FILE|CHRIS FILE	1655	1
rxn10369_c0	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn10369_c0	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn12500_c0	TcuB: works with TcuA to oxidize tricarballylate to cis-aconitate	NONE	CHRIS FILE	1680	1
rxn12500_c0	TcuA: flavoprotein used to oxidize tricarballylate to cis-aconitate	NONE	CHRIS FILE	1680	1
rxn10267_c0	Phosphatidylglycerophosphatase B (EC 3.1.3.27)	NONE	CHRIS FILE	1683	1
rxn10267_c0	Phosphatidylglycerophosphatase A (EC 3.1.3.27)	NONE	CHRIS FILE	1967	1
rxn09148_c0	Phospholipase A1 precursor (EC 3.1.1.32, EC 3.1.1.4)	NONE	CHRIS FILE	1852	1
rxn00257_c0	Citrate lyase, subunit 2 (EC 2.3.3.8)	NONE	Hope|MATT FILE	100679	1
rxn00257_c0	Citrate lyase, subunit 1 (EC 2.3.3.8)	NONE	Hope|MATT FILE	100680	1
rxn05433_c0	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	NONE	CHRIS FILE	1663	1
rxn03641_c0	4-hydroxybutyrate:acetyl-CoA CoA transferase (EC 2.3.1.-)	Gamma-aminobutyrate_(GABA)_shunt	Hope|MATT FILE	100681	1
rxn10274_c0	diglucosyldiacylglycerol synthase (LTA membrane anchor synthesis)	NONE	CHRIS FILE	1667	1
rxn05373_c0	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	NONE	CHRIS FILE	1668	1
rxn06438_c0	Glycyl-tRNA synthetase (EC 6.1.1.14)	NONE	Hope	100682	0
rxn01322_c0	N-acetylneuraminate lyase (EC 4.1.3.3)	NONE	Hope|MATT FILE	100683	1
rxn10236_c0	Phosphatidylserine decarboxylase (EC 4.1.1.65)	NONE	CHRIS FILE	1672	1
rxn05465_c0	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	NONE	Hope|MATT FILE|CHRIS FILE	1674	1
rxn10306_c0	Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	NONE	CHRIS FILE	2024	1
rxn05452_c0	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	NONE	CHRIS FILE	1682	1
rxn02007_c0	Inosose dehydratase (EC 4.2.1.44)	NONE	Hope|Hope|MATT FILE|MATT FILE|CHRIS FILE	1684	1
rxn10010_c0	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	NONE	CHRIS FILE	1683	1
rxn00502_c0	Malonate-semialdehyde dehydrogenase (EC 1.2.1.18)	NONE	Hope|MATT FILE	100684	1
rxn10222_c0	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	NONE	CHRIS FILE	1690	1
rxn05508_c0	Anaerobic C4-dicarboxylate transporter DcuB	NONE	CHRIS FILE	3043	1
rxn00038_c0	D(-)-3-hydroxybutyrate oligomer hydrolase (EC 3.1.1.22)	Polyhydroxybutyrate_metabolism	Hope|MATT FILE	100685	1
rxn00392_c0	FMN adenylyltransferase (EC 2.7.7.2)	NONE	CHRIS FILE	1692	1
rxn00392_c0	Riboflavin kinase (EC 2.7.1.26)	NONE	Hope|MATT FILE|CHRIS FILE	1692	1
rxn02400_c0	5'-nucleotidase (EC 3.1.3.5)	NONE	CHRIS FILE	1694	1
rxn01981_c0	Gamma-glutamyl cyclotransferase (EC 2.3.2.4)	Glutathione_Redox_Metabolism_3	Hope|MATT FILE	100686	1
rxn01280_c0	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	Allantoin_Utilization	Hope|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1708	1
rxn01280_c0	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	The_Tartronate_Semialdehyde_Hub	Hope|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1708	1
rxn01280_c0	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1708	1
rxn01280_c0	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	Glyoxylate-Hydroxypyruvate_Conversion	Hope|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1708	1
rxn01280_c0	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	Allantoin_degradation	Hope|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1708	1
rxn00758_c0	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	NONE	Hope|MATT FILE|CHRIS FILE	1703	1
rxn00758_c0	Glycerophosphoryl diester phosphodiesterase, periplasmic (EC 3.1.4.46)	NONE	Hope|MATT FILE|CHRIS FILE	1704	1
rxn10284_c0	diglucosyldiacylglycerol synthase (LTA membrane anchor synthesis)	NONE	CHRIS FILE	2022	1
rxn05213_c0	Ca(2+) Citrate symporter (TC 2.A.11.1.2)	NONE	CHRIS FILE	1709	1
rxn01729_c0	Glutarate-semialdehyde dehydrogenase (EC 1.2.1.20)	NONE	Hope|MATT FILE	100687	1
rxn00328_c0	4-Hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16)	NONE	Hope|MATT FILE|CHRIS FILE|CHRIS FILE	932	1
rxn00328_c0	4-Hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16)	NONE	Hope|MATT FILE|CHRIS FILE|CHRIS FILE	1712	1
rxn00328_c0	2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	NONE	CHRIS FILE|CHRIS FILE	932	1
rxn00328_c0	2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	NONE	CHRIS FILE|CHRIS FILE	1712	1
rxn06165_c0	Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)	NONE	Hope	100688	0
rxn01670_c0	5'-nucleotidase (EC 3.1.3.5)	NONE	CHRIS FILE	1722	1
rxn01670_c0	NMN phosphatase (EC 3.1.3.5)	NONE	Hope|MATT FILE	100689	1
rxn03126_c0	CoB--CoM heterodisulfide reductase subunit A (EC 1.8.98.1)	NONE	Hope|MATT FILE	100690	1
rxn03126_c0	CoB--CoM heterodisulfide reductase subunit B (EC 1.8.98.1)	NONE	Hope|MATT FILE	100691	1
rxn03126_c0	CoB--CoM heterodisulfide reductase subunit C (EC 1.8.98.1)	NONE	Hope|MATT FILE	100692	1
rxn00305_c0	Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32)	NONE	Hope|MATT FILE	100693	1
rxn11938_c0	Formylmethanofuran dehydrogenase (tungsten) subunit C (EC 1.2.99.5)	NONE	CHRIS FILE	1863	1
rxn11938_c0	Formylmethanofuran dehydrogenase (tungsten) subunit D (EC 1.2.99.5)	NONE	CHRIS FILE	1863	1
rxn11938_c0	Formylmethanofuran dehydrogenase (molybdenum) subunit D (EC 1.2.99.5)	NONE	CHRIS FILE	1862	1
rxn11938_c0	Formylmethanofuran dehydrogenase subunit C (EC 1.2.99.5)	NONE	CHRIS FILE	1861	1
rxn11938_c0	Formylmethanofuran dehydrogenase subunit A (EC 1.2.99.5)	NONE	CHRIS FILE	1861	1
